"C_uuid";"saddle";"raceDate";"R_name";"ranking";"C_numberOfRunners";"P1";"PP";"G";"P";"Proba"
"00302b42a91768757e96212d6871388a";"1";"2023-11-25";"Paris-Vincennes";"9";11;0;0;0;0;0,0332241579890251
"00302b42a91768757e96212d6871388a";"10";"2023-11-25";"Paris-Vincennes";NA;11;0;0;0;0;0,092633455991745
"00302b42a91768757e96212d6871388a";"11";"2023-11-25";"Paris-Vincennes";"1";11;1;1;5,668;2,164;0,213533103466034
"00302b42a91768757e96212d6871388a";"12";"2023-11-25";"Paris-Vincennes";NA;11;0;0;0;0;0,219159960746765
"00302b42a91768757e96212d6871388a";"3";"2023-11-25";"Paris-Vincennes";"3";11;0;1;0;9,598;0,00594738079234958
"00302b42a91768757e96212d6871388a";"4";"2023-11-25";"Paris-Vincennes";"2";11;0;1;0;3,254;0,203197509050369
"00302b42a91768757e96212d6871388a";"5";"2023-11-25";"Paris-Vincennes";"4";11;0;0;0;0;0,101012118160725
"00302b42a91768757e96212d6871388a";"6";"2023-11-25";"Paris-Vincennes";"7";11;0;0;0;0;0,086664654314518
"00302b42a91768757e96212d6871388a";"7";"2023-11-25";"Paris-Vincennes";"6";11;0;0;0;0;0,118582658469677
"00302b42a91768757e96212d6871388a";"8";"2023-11-25";"Paris-Vincennes";"8";11;0;0;0;0;0,270750254392624
"00302b42a91768757e96212d6871388a";"9";"2023-11-25";"Paris-Vincennes";"5";11;0;0;0;0;0,0112708453088999
"00757948b787d330c0079f2b9eea5140";"1";"2023-11-15";"Solvalla";"2";11;0;1;0;3,615;0,20981527864933
"00757948b787d330c0079f2b9eea5140";"10";"2023-11-15";"Solvalla";"4";11;0;0;0;0;0,38700070977211
"00757948b787d330c0079f2b9eea5140";"11";"2023-11-15";"Solvalla";NA;11;0;0;0;0;0,00119904184248298
"00757948b787d330c0079f2b9eea5140";"2";"2023-11-15";"Solvalla";"8";11;0;0;0;0;0,12745226919651
"00757948b787d330c0079f2b9eea5140";"3";"2023-11-15";"Solvalla";"6";11;0;0;0;0;0,299799144268036
"00757948b787d330c0079f2b9eea5140";"4";"2023-11-15";"Solvalla";"5";11;0;0;0;0;0,191125631332397
"00757948b787d330c0079f2b9eea5140";"5";"2023-11-15";"Solvalla";"1";11;1;1;9,365;2,575;0,368950009346008
"00757948b787d330c0079f2b9eea5140";"6";"2023-11-15";"Solvalla";"3";11;0;1;0;8,085;0,387060314416885
"00757948b787d330c0079f2b9eea5140";"7";"2023-11-15";"Solvalla";"7";11;0;0;0;0;0,180638954043388
"00757948b787d330c0079f2b9eea5140";"8";"2023-11-15";"Solvalla";NA;11;0;0;0;0;0,220930248498917
"00757948b787d330c0079f2b9eea5140";"9";"2023-11-15";"Solvalla";"9";11;0;0;0;0;0,0044033913873136
"0084d6ded1a5bcc9e760a6d7af185d35";"1";"2023-11-25";"Paris-Vincennes";"3";15;0;1;0;1,966;0,0803380906581879
"0084d6ded1a5bcc9e760a6d7af185d35";"10";"2023-11-25";"Paris-Vincennes";"12";15;0;0;0;0;0,0228756386786699
"0084d6ded1a5bcc9e760a6d7af185d35";"11";"2023-11-25";"Paris-Vincennes";"5";15;0;0;0;0;0,0614740289747715
"0084d6ded1a5bcc9e760a6d7af185d35";"12";"2023-11-25";"Paris-Vincennes";"11";15;0;0;0;0;0,00596259441226721
"0084d6ded1a5bcc9e760a6d7af185d35";"13";"2023-11-25";"Paris-Vincennes";"14";15;0;0;0;0;0,0126389618963003
"0084d6ded1a5bcc9e760a6d7af185d35";"14";"2023-11-25";"Paris-Vincennes";"15";15;0;0;0;0;0,00272075738757849
"0084d6ded1a5bcc9e760a6d7af185d35";"15";"2023-11-25";"Paris-Vincennes";"8";15;0;0;0;0;0,0349910072982311
"0084d6ded1a5bcc9e760a6d7af185d35";"2";"2023-11-25";"Paris-Vincennes";"13";15;0;0;0;0;0,00243653194047511
"0084d6ded1a5bcc9e760a6d7af185d35";"3";"2023-11-25";"Paris-Vincennes";"6";15;0;0;0;0;0,37243726849556
"0084d6ded1a5bcc9e760a6d7af185d35";"4";"2023-11-25";"Paris-Vincennes";"9";15;0;0;0;0;0,137431040406227
"0084d6ded1a5bcc9e760a6d7af185d35";"5";"2023-11-25";"Paris-Vincennes";"7";15;0;0;0;0;0,36895152926445
"0084d6ded1a5bcc9e760a6d7af185d35";"6";"2023-11-25";"Paris-Vincennes";"1";15;1;1;12,49;2,232;0,281822472810745
"0084d6ded1a5bcc9e760a6d7af185d35";"7";"2023-11-25";"Paris-Vincennes";"4";15;0;0;0;0;0,129235550761223
"0084d6ded1a5bcc9e760a6d7af185d35";"8";"2023-11-25";"Paris-Vincennes";"10";15;0;0;0;0;0,101499870419502
"0084d6ded1a5bcc9e760a6d7af185d35";"9";"2023-11-25";"Paris-Vincennes";"2";15;0;1;0;1,536;0,555632472038269
"00890862b59bf352209a93666cecb101";"1";"2023-11-03";"Paris-Vincennes";"7";13;0;0;0;0;0,457088053226471
"00890862b59bf352209a93666cecb101";"10";"2023-11-03";"Paris-Vincennes";"13";13;0;0;0;0;0,00419415673241019
"00890862b59bf352209a93666cecb101";"11";"2023-11-03";"Paris-Vincennes";"1";13;1;1;213,225;24,415;0,00565329985693097
"00890862b59bf352209a93666cecb101";"12";"2023-11-03";"Paris-Vincennes";"3";13;0;1;0;8,205;0,022119453176856
"00890862b59bf352209a93666cecb101";"13";"2023-11-03";"Paris-Vincennes";"2";13;0;1;0;19,0275;0,00189083570148796
"00890862b59bf352209a93666cecb101";"2";"2023-11-03";"Paris-Vincennes";"9";13;0;0;0;0;0,0875022187829018
"00890862b59bf352209a93666cecb101";"3";"2023-11-03";"Paris-Vincennes";"8";13;0;0;0;0;0,0318031385540962
"00890862b59bf352209a93666cecb101";"4";"2023-11-03";"Paris-Vincennes";"12";13;0;0;0;0;0,118797905743122
"00890862b59bf352209a93666cecb101";"5";"2023-11-03";"Paris-Vincennes";"10";13;0;0;0;0;0,705623745918274
"00890862b59bf352209a93666cecb101";"6";"2023-11-03";"Paris-Vincennes";"4";13;0;0;0;0;0,690436124801636
"00890862b59bf352209a93666cecb101";"7";"2023-11-03";"Paris-Vincennes";"5";13;0;0;0;0;0,152461975812912
"00890862b59bf352209a93666cecb101";"8";"2023-11-03";"Paris-Vincennes";"6";13;0;0;0;0;0,0159050617367029
"00890862b59bf352209a93666cecb101";"9";"2023-11-03";"Paris-Vincennes";"11";13;0;0;0;0;0,104521259665489
"00954677b0215580d08d8dccb009c3eb";"1";"2023-11-20";"Nantes";NA;14;0;0;0;0;0,0038712143432349
"00954677b0215580d08d8dccb009c3eb";"10";"2023-11-20";"Nantes";"1";14;1;1;5,92;4,46;0,22709684073925
"00954677b0215580d08d8dccb009c3eb";"11";"2023-11-20";"Nantes";"7";14;0;0;0;0;0,154790312051773
"00954677b0215580d08d8dccb009c3eb";"12";"2023-11-20";"Nantes";"4";14;0;0;0;0;0,33711189031601
"00954677b0215580d08d8dccb009c3eb";"13";"2023-11-20";"Nantes";"2";14;0;1;0;3,88;0,0382677763700485
"00954677b0215580d08d8dccb009c3eb";"14";"2023-11-20";"Nantes";"3";14;0;1;0;2,5;0,129038572311401
"00954677b0215580d08d8dccb009c3eb";"2";"2023-11-20";"Nantes";"8";14;0;0;0;0;0,00890352763235569
"00954677b0215580d08d8dccb009c3eb";"3";"2023-11-20";"Nantes";"9";14;0;0;0;0;0,0668185725808144
"00954677b0215580d08d8dccb009c3eb";"4";"2023-11-20";"Nantes";"13";14;0;0;0;0;0,010145828127861
"00954677b0215580d08d8dccb009c3eb";"5";"2023-11-20";"Nantes";"10";14;0;0;0;0;0,00843037944287062
"00954677b0215580d08d8dccb009c3eb";"6";"2023-11-20";"Nantes";"11";14;0;0;0;0;0,0156092783436179
"00954677b0215580d08d8dccb009c3eb";"7";"2023-11-20";"Nantes";"12";14;0;0;0;0;0,00985156372189522
"00954677b0215580d08d8dccb009c3eb";"8";"2023-11-20";"Nantes";"6";14;0;0;0;0;0,0192822311073542
"00954677b0215580d08d8dccb009c3eb";"9";"2023-11-20";"Nantes";"5";14;0;0;0;0;0,0138801634311676
"00ca1215d571181f053f6a52a184e4e3";"1";"2023-11-05";"Châtelaillon-La Rochelle";"4";10;0;0;0;0;0,0146305803209543
"00ca1215d571181f053f6a52a184e4e3";"10";"2023-11-05";"Châtelaillon-La Rochelle";"6";10;0;0;0;0;0,0198011733591557
"00ca1215d571181f053f6a52a184e4e3";"2";"2023-11-05";"Châtelaillon-La Rochelle";"7";10;0;0;0;0;0,0242755655199289
"00ca1215d571181f053f6a52a184e4e3";"3";"2023-11-05";"Châtelaillon-La Rochelle";"1";10;1;1;2,946;1,632;0,436034500598907
"00ca1215d571181f053f6a52a184e4e3";"4";"2023-11-05";"Châtelaillon-La Rochelle";NA;10;0;0;0;0;0,386102557182312
"00ca1215d571181f053f6a52a184e4e3";"5";"2023-11-05";"Châtelaillon-La Rochelle";NA;10;0;0;0;0;0,11632040143013
"00ca1215d571181f053f6a52a184e4e3";"6";"2023-11-05";"Châtelaillon-La Rochelle";"5";10;0;0;0;0;0,168005540966988
"00ca1215d571181f053f6a52a184e4e3";"7";"2023-11-05";"Châtelaillon-La Rochelle";"2";10;0;1;0;2,958;0,531167387962341
"00ca1215d571181f053f6a52a184e4e3";"8";"2023-11-05";"Châtelaillon-La Rochelle";NA;10;0;0;0;0;0,129248350858688
"00ca1215d571181f053f6a52a184e4e3";"9";"2023-11-05";"Châtelaillon-La Rochelle";"3";10;0;1;0;2,654;0,324944883584976
"00cd60a1dcd6f096d3297a5565bbf886";"2";"2023-11-14";"Paris-Vincennes";"7";8;0;0;0;0;0,393490970134735
"00cd60a1dcd6f096d3297a5565bbf886";"3";"2023-11-14";"Paris-Vincennes";"1";8;1;1;8,66;2,008;0,197301790118217
"00cd60a1dcd6f096d3297a5565bbf886";"4";"2023-11-14";"Paris-Vincennes";"4";8;0;0;0;0;0,0540956184267998
"00cd60a1dcd6f096d3297a5565bbf886";"5";"2023-11-14";"Paris-Vincennes";"6";8;0;0;0;0;0,0295197758823633
"00cd60a1dcd6f096d3297a5565bbf886";"6";"2023-11-14";"Paris-Vincennes";"5";8;0;0;0;0;0,0451609864830971
"00cd60a1dcd6f096d3297a5565bbf886";"7";"2023-11-14";"Paris-Vincennes";"3";8;0;1;0;1,526;0,317378401756287
"00cd60a1dcd6f096d3297a5565bbf886";"8";"2023-11-14";"Paris-Vincennes";"2";8;0;1;0;1,424;0,235032737255096
"00cd60a1dcd6f096d3297a5565bbf886";"9";"2023-11-14";"Paris-Vincennes";NA;8;0;0;0;0;0,350438266992569
"018dd03001e617e35bf3fd2bc5cc585b";"1";"2023-11-17";"Mauquenchy";"11";14;0;0;0;0;0,0180216990411282
"018dd03001e617e35bf3fd2bc5cc585b";"10";"2023-11-17";"Mauquenchy";"4";14;0;0;0;0;0,297804713249207
"018dd03001e617e35bf3fd2bc5cc585b";"11";"2023-11-17";"Mauquenchy";"9";14;0;0;0;0;0,0459579676389694
"018dd03001e617e35bf3fd2bc5cc585b";"12";"2023-11-17";"Mauquenchy";"6";14;0;0;0;0;0,00646969955414534
"018dd03001e617e35bf3fd2bc5cc585b";"13";"2023-11-17";"Mauquenchy";"3";14;0;1;0;1,59;0,420714318752289
"018dd03001e617e35bf3fd2bc5cc585b";"14";"2023-11-17";"Mauquenchy";"7";14;0;0;0;0;0,0983055979013443
"018dd03001e617e35bf3fd2bc5cc585b";"2";"2023-11-17";"Mauquenchy";NA;14;0;0;0;0;0,029615480452776
"018dd03001e617e35bf3fd2bc5cc585b";"3";"2023-11-17";"Mauquenchy";"8";14;0;0;0;0;0,118549920618534
"018dd03001e617e35bf3fd2bc5cc585b";"4";"2023-11-17";"Mauquenchy";"2";14;0;1;0;6,6;0,0524506755173206
"018dd03001e617e35bf3fd2bc5cc585b";"5";"2023-11-17";"Mauquenchy";"1";14;1;1;3,51;1,69;0,406456530094147
"018dd03001e617e35bf3fd2bc5cc585b";"6";"2023-11-17";"Mauquenchy";"12";14;0;0;0;0;0,110044069588184
"018dd03001e617e35bf3fd2bc5cc585b";"7";"2023-11-17";"Mauquenchy";NA;14;0;0;0;0;0,162527024745941
"018dd03001e617e35bf3fd2bc5cc585b";"8";"2023-11-17";"Mauquenchy";"5";14;0;0;0;0;0,210266411304474
"018dd03001e617e35bf3fd2bc5cc585b";"9";"2023-11-17";"Mauquenchy";"10";14;0;0;0;0;0,0309993829578161
"01c7a52dc9b63db1917dac035d24ebab";"1";"2023-11-08";"Saint-Galmier";NA;13;0;0;0;0;0,000957374169956893
"01c7a52dc9b63db1917dac035d24ebab";"10";"2023-11-08";"Saint-Galmier";"6";13;0;0;0;0;0,00134693237487227
"01c7a52dc9b63db1917dac035d24ebab";"11";"2023-11-08";"Saint-Galmier";"11";13;0;0;0;0;0,0475027598440647
"01c7a52dc9b63db1917dac035d24ebab";"13";"2023-11-08";"Saint-Galmier";"10";13;0;0;0;0;0,0035732330288738
"01c7a52dc9b63db1917dac035d24ebab";"14";"2023-11-08";"Saint-Galmier";"9";13;0;0;0;0;0,036486592143774
"01c7a52dc9b63db1917dac035d24ebab";"15";"2023-11-08";"Saint-Galmier";NA;13;0;0;0;0;0,0548397973179817
"01c7a52dc9b63db1917dac035d24ebab";"2";"2023-11-08";"Saint-Galmier";"8";13;0;0;0;0;0,067565493285656
"01c7a52dc9b63db1917dac035d24ebab";"3";"2023-11-08";"Saint-Galmier";"2";13;0;1;0;2,176;0,366614878177643
"01c7a52dc9b63db1917dac035d24ebab";"4";"2023-11-08";"Saint-Galmier";"4";13;0;0;0;0;0,238546252250671
"01c7a52dc9b63db1917dac035d24ebab";"5";"2023-11-08";"Saint-Galmier";"1";13;1;1;3,886;2,75;0,0437843576073647
"01c7a52dc9b63db1917dac035d24ebab";"7";"2023-11-08";"Saint-Galmier";"7";13;0;0;0;0;0,0790906995534897
"01c7a52dc9b63db1917dac035d24ebab";"8";"2023-11-08";"Saint-Galmier";"3";13;0;1;0;2,86;0,269236475229263
"01c7a52dc9b63db1917dac035d24ebab";"9";"2023-11-08";"Saint-Galmier";"5";13;0;0;0;0;0,0122359367087483
"01f886fe4b7fc861285a162882ba62d6";"1";"2023-11-23";"Graignes";"5";14;0;0;0;0;0,0302399415522814
"01f886fe4b7fc861285a162882ba62d6";"10";"2023-11-23";"Graignes";NA;14;0;0;0;0;0,0134617881849408
"01f886fe4b7fc861285a162882ba62d6";"11";"2023-11-23";"Graignes";"3";14;0;1;0;4,772;0,250382512807846
"01f886fe4b7fc861285a162882ba62d6";"12";"2023-11-23";"Graignes";"6";14;0;0;0;0;0,0185922682285309
"01f886fe4b7fc861285a162882ba62d6";"13";"2023-11-23";"Graignes";NA;14;0;0;0;0;0,242266446352005
"01f886fe4b7fc861285a162882ba62d6";"14";"2023-11-23";"Graignes";"2";14;0;1;0;2,122;0,223191231489182
"01f886fe4b7fc861285a162882ba62d6";"2";"2023-11-23";"Graignes";"9";14;0;0;0;0;0,0245725885033607
"01f886fe4b7fc861285a162882ba62d6";"3";"2023-11-23";"Graignes";"4";14;0;0;0;0;0,0203246772289276
"01f886fe4b7fc861285a162882ba62d6";"4";"2023-11-23";"Graignes";NA;14;0;0;0;0;0,0408303402364254
"01f886fe4b7fc861285a162882ba62d6";"5";"2023-11-23";"Graignes";"1";14;1;1;2,578;1,76;0,386418968439102
"01f886fe4b7fc861285a162882ba62d6";"6";"2023-11-23";"Graignes";"8";14;0;0;0;0;0,0848256051540375
"01f886fe4b7fc861285a162882ba62d6";"7";"2023-11-23";"Graignes";NA;14;0;0;0;0;0,0580013059079647
"01f886fe4b7fc861285a162882ba62d6";"8";"2023-11-23";"Graignes";NA;14;0;0;0;0;0,234126508235931
"01f886fe4b7fc861285a162882ba62d6";"9";"2023-11-23";"Graignes";"7";14;0;0;0;0;0,0584915727376938
"025bda39f29e7ba48e9bc05ce938887a";"1";"2023-11-22";"Marseille-Borély";"2";7;0;1;0;7,54;0,104522839188576
"025bda39f29e7ba48e9bc05ce938887a";"2";"2023-11-22";"Marseille-Borély";NA;7;0;0;0;0;0,0778950676321983
"025bda39f29e7ba48e9bc05ce938887a";"3";"2023-11-22";"Marseille-Borély";"4";7;0;0;0;0;0,0298513062298298
"025bda39f29e7ba48e9bc05ce938887a";"4";"2023-11-22";"Marseille-Borély";"3";7;0;0;0;0;0,0234052110463381
"025bda39f29e7ba48e9bc05ce938887a";"5";"2023-11-22";"Marseille-Borély";"6";7;0;0;0;0;0,527410805225372
"025bda39f29e7ba48e9bc05ce938887a";"6";"2023-11-22";"Marseille-Borély";"1";7;1;1;4,75;2,21;0,455118268728256
"025bda39f29e7ba48e9bc05ce938887a";"7";"2023-11-22";"Marseille-Borély";"5";7;0;0;0;0;0,0388882197439671
"026e57042118f23516271241beef1a09";"1";"2023-11-25";"Paris-Vincennes";"10";14;0;0;0;0;0,000985889812000096
"026e57042118f23516271241beef1a09";"10";"2023-11-25";"Paris-Vincennes";"4";14;0;0;0;0;0,649423658847809
"026e57042118f23516271241beef1a09";"11";"2023-11-25";"Paris-Vincennes";"8";14;0;0;0;0;0,00377235654741526
"026e57042118f23516271241beef1a09";"12";"2023-11-25";"Paris-Vincennes";NA;14;0;0;0;0;0,0303674563765526
"026e57042118f23516271241beef1a09";"13";"2023-11-25";"Paris-Vincennes";"11";14;0;0;0;0;0,0178233459591866
"026e57042118f23516271241beef1a09";"14";"2023-11-25";"Paris-Vincennes";"5";14;0;0;0;0;0,980488657951355
"026e57042118f23516271241beef1a09";"2";"2023-11-25";"Paris-Vincennes";"12";14;0;0;0;0;0,0221792329102755
"026e57042118f23516271241beef1a09";"3";"2023-11-25";"Paris-Vincennes";"2";14;0;1;0;3,83;0,0346024110913277
"026e57042118f23516271241beef1a09";"4";"2023-11-25";"Paris-Vincennes";NA;14;0;0;0;0;0,0231675021350384
"026e57042118f23516271241beef1a09";"5";"2023-11-25";"Paris-Vincennes";"1";14;1;1;7,406;1,81;0,0865509063005447
"026e57042118f23516271241beef1a09";"6";"2023-11-25";"Paris-Vincennes";"9";14;0;0;0;0;0,00114817509893328
"026e57042118f23516271241beef1a09";"7";"2023-11-25";"Paris-Vincennes";"6";14;0;0;0;0;0,00247271731495857
"026e57042118f23516271241beef1a09";"8";"2023-11-25";"Paris-Vincennes";"7";14;0;0;0;0;0,0119942110031843
"026e57042118f23516271241beef1a09";"9";"2023-11-25";"Paris-Vincennes";"3";14;0;1;0;1,604;0,280177056789398
"030d135675cdc5a8ae60ebf8e632b64c";"1";"2023-11-15";"Marseille-Borély";"14";16;0;0;0;0;0,026512747630477
"030d135675cdc5a8ae60ebf8e632b64c";"10";"2023-11-15";"Marseille-Borély";NA;16;0;0;0;0;0,00200766697525978
"030d135675cdc5a8ae60ebf8e632b64c";"11";"2023-11-15";"Marseille-Borély";"12";16;0;0;0;0;0,000170798521139659
"030d135675cdc5a8ae60ebf8e632b64c";"12";"2023-11-15";"Marseille-Borély";"10";16;0;0;0;0;0,00309169921092689
"030d135675cdc5a8ae60ebf8e632b64c";"13";"2023-11-15";"Marseille-Borély";"11";16;0;0;0;0;0,00381837342865765
"030d135675cdc5a8ae60ebf8e632b64c";"14";"2023-11-15";"Marseille-Borély";"8";16;0;0;0;0;0,00287927314639091
